Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,3,1,1,2000,4,39.16424,-86.480688

2015,3,7,0,1900,4,39.20979593,-86.58265377

2015,3,6,1,1600,7,39.1419316,-86.58281025

2015,4,2,1,1600,2,39.153392,-86.527008

2015,4,2,1,1000,8,39.17906329,-86.5209221

2015,4,2,1,1600,4,0,0

2015,4,2,1,1500,3,39.16464,-86.5336

2015,4,7,0,2100,8,39.16664,-86.528192

2015,4,2,1,1500,2,39.16144,-86.534848

2015,4,2,1,1700,4,39.17664,-86.539712

2015,4,1,0,1700,8,39.13664481,-86.51891984

2015,4,2,1,700,14,39.16677127,-86.54552653

2015,4,1,0,1700,4,0,0

2015,4,2,1,2100,3,39.142048,-86.582592

2015,4,3,1,300,12,39.30579968,-86.63102638

2015,4,3,1,800,8,39.14132106,-86.53826568

2015,4,3,1,800,4,39.25071158,-86.57777018

2015,4,5,1,1200,7,0,0

2015,4,3,1,1200,3,39.16143434,-86.54614523

2015,4,3,1,1000,1,39.18589032,-86.51897973

2015,4,3,1,1200,8,39.16132517,-86.50238335

2015,4,2,1,1900,1,39.16664,-86.526896

2015,4,3,1,1500,2,39.171504,-86.495312

2015,4,3,1,2200,10,39.165648,-86.528144

2015,4,3,1,1200,8,39.17344,-86.53033078

2015,4,4,1,0,5,39.15246986,-86.49045507

2015,4,4,1,1000,4,39.157536,-86.5324

2015,4,6,1,1400,2,39.17024,-86.501392

2015,4,4,1,700,3,39.16461021,-86.57913006

2015,4,4,1,700,1,39.164448,-86.471888

2015,4,4,1,1400,4,39.21281905,-86.45958909

2015,4,4,1,1000,4,39.196848,-86.5344

2015,4,4,1,1600,3,39.16038975,-86.52718976

2015,4,4,1,1400,17,39.164272,-86.5408

2015,4,5,1,700,2,39.136304,-86.544592

2015,4,5,1,700,2,0,0

2015,4,2,1,1000,7,39.21952997,-86.4451502

2015,4,3,1,700,8,39.105552,-86.551104

2015,4,5,1,1000,1,39.228944,-86.627504

2015,4,5,1,1000,1,39.16767469,-86.53145944

2015,4,5,1,1000,4,39.133744,-86.526896

2015,4,5,1,1500,18,39.178928,-86.518992

2015,4,5,1,1500,20,0,0

